location
"22.99809,120.21006"
"22.98748,120.23908"
"22.98624,120.21703"
"22.98486,120.22388"
"22.98011,120.22413"
"22.979,120.21786"
"22.97976,120.22151"
"22.98253,120.24208"
"22.98705,120.22349"
"22.98266,120.23732"
"22.98756,120.23153"
"22.9923,120.21276"
"22.99127,120.21753"
"22.97927,120.22542"
"22.97812,120.22202"
"22.9733,120.22455"
"22.98958,120.22431"
"22.96729,120.22741"
"22.98867,120.23503"
"22.97659,120.23602"
"22.96029,120.22989"
"22.98978,120.21159"
"22.99123,120.21495"
"22.99208,120.22646"
"22.99025,120.2275"
"22.99527,120.2296"
"22.9945,120.23292"
"22.98912,120.23305"
"22.97404,120.23172"
"22.99745,120.21712"
"22.99861,120.21943"
"22.99661,120.21522"
"22.99718,120.21257"
"22.99417,120.21501"
"22.96953,120.23439"
"22.9924,120.22029"
"22.98971,120.21992"
"22.99859,120.22944"
"22.99229,120.22409"
"22.9872,120.2114"
"22.97513,120.22254"
